address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,sender,to,amount0In,amount1In,amount0Out,amount1Out
0xa6f3ef841d371a82ca757fad08efc0dee2f1f5e2,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x000000000000000000000000eca2e07abc83c78a7178c46b84962af86de342ff', '0x000000000000000000000000eca2e07abc83c78a7178c46b84962af86de342ff']",0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114de25de5491f2c00000000000000000000000000000000000000000000000000000000000005130000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x178beb2de4,0x1ed31,0x4,0x4f03d72f8fa80510072cbea192fcc8ef248c83b45a5ed559a0e4ab0fc4a875d3,0x2,0xeca2e07abc83c78a7178c46b84962af86de342ff,0xeca2e07abc83c78a7178c46b84962af86de342ff,0x0,0x114de25de5491f2c,0x513,0x0
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d', '0x0000000000000000000000004687293ad436cf9e84e0d8bb679ab0545b75043e']",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005b1c19cbd280000000000000000000000000000000000000000000000000000000002758e6fe70000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0xab5d04c00,0x1aae4,0x2d,0x4be33bfa3b7addea1a88472ec12478e78b2b43afc9c56f0a51a5912d0a509cda,0x23,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4687293ad436cf9e84e0d8bb679ab0545b75043e,0x0,0x5b1c19cbd2800,0x2758e6fe7,0x0
0x37a0464f8f4c207b54821f3c799afd3d262aa944,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d', '0x0000000000000000000000007141905e9aff9c4b430a9d925057f1256a45eb1a']",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bc16d674ec80000000000000000000000000000000000000000000000000c2635448c7e50f617e30000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x9fd0a0de9,0x1fcbc,0x3c,0x2450701d1f77fb5915c19cb1e329c2959fa1df8171c9c09ed8ad53543f883dd8,0x3d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7141905e9aff9c4b430a9d925057f1256a45eb1a,0x0,0x1bc16d674ec80000,0xc2635448c7e50f617e3,0x0
0xa0d06bdc3274564ddda65bfab6ae61e5f000e49b,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d', '0x000000000000000000000000e644ae0d7640ed2838e97a3a0689e9bf50627eab']",0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002afd4eca6bd12c00000000000000000000000000000000000000000000000000000628a4e5f40f79ab0000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x8d8f9fc00,0x2f0a1,0x57,0xb94aa7a12f5258dccc801ca614d7114159e574b17f9d184d8f451575133ba54e,0x65,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe644ae0d7640ed2838e97a3a0689e9bf50627eab,0x0,0x2afd4eca6bd12c0000,0x628a4e5f40f79ab,0x0
0xe644ae0d7640ed2838e97a3a0689e9bf50627eab,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d', '0x000000000000000000000000d158637f7a7bac0e16e83e532b8d01edc77c4797']",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000628a4e5f40f79ab00000000000000000000000000000000000000000000005bdd67641db1882f490000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x8d8f9fc00,0x2f0a1,0x5a,0xb94aa7a12f5258dccc801ca614d7114159e574b17f9d184d8f451575133ba54e,0x65,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd158637f7a7bac0e16e83e532b8d01edc77c4797,0x0,0x628a4e5f40f79ab,0x5bdd67641db1882f49,0x0
0x8fd3a04cb30a1fd9ffaf1548972b2e5117d0a52d,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000008a3960472b3d63894b68df3f10f58f11828d6fd9', '0x0000000000000000000000008a3960472b3d63894b68df3f10f58f11828d6fd9']",0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120e3b5b9ad8aa000000000000000000000000000000000000000000000000bd8eae725a9552aa550000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3201,0x533fe,0x62,0x5547e7a6c5ec255fc8bf4a71a2f4be5ddb28e89cced699bce04a11b02b8745c0,0x6b,0x8a3960472b3d63894b68df3f10f58f11828d6fd9,0x8a3960472b3d63894b68df3f10f58f11828d6fd9,0x0,0x120e3b5b9ad8aa00,0xbd8eae725a9552aa55,0x0
0xc5a788f63e5d9cf2c324621eed51a98f85ae373b,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673']",0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027fe397f729c407900000000000000000000000000000000000000000000000000000002d89a52380000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,0x8a,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,0x7f,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0x0,0x27fe397f729c4079,0x2d89a5238,0x0
0x7adf2f4b6dd7b0077d88cb8dd2c8cd905dc7c183,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673']",0x00000000000000000000000000000000000000000000000000000002d89a523800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003202a736c70266038,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,0x8e,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,0x7f,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0x2d89a5238,0x0,0x0,0x3202a736c70266038
0xa70d458a4d9bc0e6571565faee18a48da5c0d593,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673', '0x000000000000000000000000f1ad4bfdf8829d55ec0ce7900ef9d122b2610673']",0x000000000000000000000000000000000000000000000003202a736c702660380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028d3610a145758aa,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,0x92,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,0x7f,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0x3202a736c70266038,0x0,0x0,0x28d3610a145758aa
0xa6f3ef841d371a82ca757fad08efc0dee2f1f5e2,"['0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822', '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d', '0x0000000000000000000000002f940970c509a80f69a199efbd3b5ed34d33dabf']",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bc16d674ec8000000000000000000000000000000000000000000000000000000000000000007a30000000000000000000000000000000000000000000000000000000000000000,0x9e6039,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x826299e00,0x1b57b,0xa5,0xad0b8af904760b3002b97317f2d5aa80041753d57f4ee56a35755f6f2fa978ad,0x98,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2f940970c509a80f69a199efbd3b5ed34d33dabf,0x0,0x1bc16d674ec80000,0x7a3,0x0
