address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,reserve0,reserve1,token0_address,token1_address,lp_name
0xa6f3ef841d371a82ca757fad08efc0dee2f1f5e2,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x000000000000000000000000000000000000000000000000000000000000c877000000000000000000000000000000000000000000000002bab235d6b38675cf,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x178beb2de4,0x1ed31,3,0x4f03d72f8fa80510072cbea192fcc8ef248c83b45a5ed559a0e4ab0fc4a875d3,2,51319,50346362380579403215,0x0000000000004946c0e9F43F4Dee607b0eF1fA1c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x00000000000000000000000000000000000000000000000000050a21867c3c6700000000000000000000000000000000000000000000000ba265748a25c832b0,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0xab5d04c00,0x1aae4,44,0x4be33bfa3b7addea1a88472ec12478e78b2b43afc9c56f0a51a5912d0a509cda,35,1418513990040679,214616072154285355696,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0x37a0464f8f4c207b54821f3c799afd3d262aa944,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x000000000000000000000000000000000000000000054e2b1f84d8257e5116c600000000000000000000000000000000000000000000000c3140656174a8c585,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x9fd0a0de9,0x1fcbc,59,0x2450701d1f77fb5915c19cb1e329c2959fa1df8171c9c09ed8ad53543f883dd8,61,6413769164909915357124294,224909876860126020997,0x26CE25148832C04f3d7F26F32478a9fe55197166,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0xa0d06bdc3274564ddda65bfab6ae61e5f000e49b,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x0000000000000000000000000000000000000000000000030803db6f2c3b749f0000000000000000000000000000000000000000000015437cd876229d048349,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x8d8f9fc00,0x2f0a1,86,0xb94aa7a12f5258dccc801ca614d7114159e574b17f9d184d8f451575133ba54e,101,55917778668892157087,100414624063347797295945,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc68B73D9509F5343602480656F5dA512a5A20b9e,Uniswap V2
0xe644ae0d7640ed2838e97a3a0689e9bf50627eab,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x0000000000000000000000000000000000000000000024dba484378ed0fac2900000000000000000000000000000000000000000000000027cd76cd44f9c13b8,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x8d8f9fc00,0x2f0a1,89,0xb94aa7a12f5258dccc801ca614d7114159e574b17f9d184d8f451575133ba54e,101,174056884996655296463504,45889266587239453624,0x4f56221252d117f35E2f6Ab937A3F77CAd38934D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0x8fd3a04cb30a1fd9ffaf1548972b2e5117d0a52d,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x00000000000000000000000000000000000000000000517987e4e89e27debec6000000000000000000000000000000000000000000000007cecdacc26c1fe5b0,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3201,0x533fe,97,0x5547e7a6c5ec255fc8bf4a71a2f4be5ddb28e89cced699bce04a11b02b8745c0,107,384753533352615899741894,144028965209043363248,0x985dd3D42De1e256d09e1c10F112bCCB8015AD41,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0xa70d458a4d9bc0e6571565faee18a48da5c0d593,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x0000000000000000000000000000000000000000000002561c3839cbfb68120300000000000000000000000000000000000000000000001ec48f3e0b8e110b1c,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x241dd,119,0x9408c7bb5f7a041007b027133dc2849e9b8efd433b827b908221957fb6cb6501,121,11033186394858328691203,567565929783739091740,0xba100000625a3754423978a60c9317c58a424e3D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0xc5a788f63e5d9cf2c324621eed51a98f85ae373b,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x00000000000000000000000000000000000000000000000000000332e578bf3c00000000000000000000000000000000000000000000002cf87d2fabe9b88869,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,137,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,127,3517133143868,829562259352122329193,0x9Cb2f26A23b8d89973F08c957C4d7cdf75CD341c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
0x7adf2f4b6dd7b0077d88cb8dd2c8cd905dc7c183,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x000000000000000000000000000000000000000000000000000000eefbc2542b0000000000000000000000000000000000000000000001041c676e2bdcc34027,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,141,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,127,1026426033195,4798200184854813032487,0x9Cb2f26A23b8d89973F08c957C4d7cdf75CD341c,0xba100000625a3754423978a60c9317c58a424e3D,Uniswap V2
0xa70d458a4d9bc0e6571565faee18a48da5c0d593,['0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1'],0x0000000000000000000000000000000000000000000002593c62ad386b8e723b00000000000000000000000000000000000000000000001e9bbbdd0179b9b272,10379321,0x6cc9e4a0104b2a6ef8df3c8e6b2c603e67551aae07a4bb5a342bd9ac7bcb7057,0x5efdae56,0x89d5f3200,0x493b5,145,0xfe0c2d7f4429ed87b8d1a26e25fff3ecc40eb8cb3abdf299d7da99b4d885678c,127,11090844418947268112955,564624128106217190002,0xba100000625a3754423978a60c9317c58a424e3D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Uniswap V2
